Unnamed: 0,GEOID,Pickup,MedianIncome,Median Age,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit, Trip miles,Trip seconds
148,17031100500,157,113080,44,12.5999332,3.621320316,0.310325416,0.64853848,586.338,8.253703704,1001.962963
149,17031100600,101,87061,38,16.27655392,2.637783544,0.580278562,0.443324065,233.02,9.328571429,1048.914286
150,17031100700,25,101806,42.5,15.64823455,0.617183535,0.576826654,0.099569876,416.016,5.37,767.2
151,17031110100,562,100392,34.5,18.79152653,4.733819791,0.283566472,0.8774756,302.022,8.229545455,1187.630682
152,17031110200,66,107267,39,23.91157734,10.1406105,0.233576642,1.248040422,245.425,6.479892601,864.8915076
153,17031110300,31,93517,35.9,19.31247107,0.88933717,0.103296964,0.139246836,306.848,7.233333333,882.75
154,17031110400,95,72437,40.6,21.49065322,2.52873108,0.031826392,0.315555263,242.2966667,6.965217391,884.1304348
155,17031110501,146,94836,40.3,27.2843813,3.35106385,0.030181087,0.402181113,317.846,8.388235294,1199.882353
156,17031110502,524,92868,39.8,24.90822533,9.933598923,0.085041224,0.790476998,300.41,7.767307692,1093.391026
157,17031120100,113,166719,44,9.689807453,1.386555461,0.135089419,0.425836039,272.585,7.924444444,1111.733333
158,17031120200,108,153472,44.2,11.6953158,4.077187776,0.164253225,1.092760892,312.1475,6.586860841,950.5631068
159,17031120300,151,155640,44.2,13.15896396,4.375223929,0.085117848,0.835876451,454.415,8.363636364,1097.212121
160,17031120400,98,113359,38.3,17.6859241,2.231107895,0.134598712,0.385892571,315.1633333,7.971794872,993.8974359
161,17031130100,406,83875,46,13.57809813,4.764665042,0.067462798,1.089925386,585.6233333,5.712859885,945.7101727
162,17031130200,49,103125,48.1,3.294575748,3.635320493,0.058599231,2.602134146,473.42,7.227586207,1079.862069
163,17031130300,216,63571,35.8,37.33942756,3.387399172,0.103587306,0.384138783,220.95,7.027586207,1176.16092
164,17031140100,264,54129,29.9,62.15774824,3.66443151,0.195460622,0.177886165,236.705,6.210958904,1157.876712
165,17031140200,504,45969,30.5,64.60942756,14.13869921,0.071551056,0.734754043,212.7933333,8.016,1299.188571
166,17031140301,114,56250,35,66.56503416,3.944521525,0.107054399,0.206430775,118.69,8.941176471,1249.441176
167,17031140302,129,93141,38,41.52177797,4.114008269,0.055832734,0.329051031,344.2233333,7.017391304,1165.188406
168,17031140400,555,94344,41.8,22.76851132,3.691354672,0.226923664,0.552095656,404.48,7.247027027,1111.135135
169,17031140500,78,70875,35.7,37.09450856,4.328883049,0.018962867,0.377842756,307.5633333,6.384615385,1134.038462
170,17031140601,85,51053,37.1,43.52960506,3.048708246,0.035652165,0.222342733,193.12,5.99375,901.1875
171,17031140602,517,61875,31.9,57.12682223,2.25459504,0.045429362,0.120022477,329.915,5.647971328,976.423181
172,17031140701,267,68000,35.2,54.97850892,4.836342121,0.07681246,0.256532915,172.335,7.239784946,1169.043011
173,17031140702,648,63219,33,60.11597425,4.821022359,0.247000717,0.289838212,257.83,7.093421053,1112.495614
174,17031140800,1048,98056,31.4,36.72309294,3.343507388,0.056402439,0.23775314,324.016,5.678531073,1087.090395
175,17031150200,1267,85284,38.6,26.77865164,6.132115367,0.154906961,0.615546011,232.548,7.544417476,1113.669903
176,17031150300,620,102725,37.9,28.81122887,3.90378937,0.304828151,0.380431037,231.2471429,6.528224575,1009.978585
177,17031150401,142,80337,44.5,28.80362851,2.983858994,0.335206466,0.309172315,186.75,6.551282051,963.025641
178,17031150402,86,99345,36.1,21.486207,2.737240683,0.238395935,0.368205239,257.0433333,6.177142857,1043.371429
179,17031150501,24,89250,44.7,25.59564584,0.881115302,0.108773926,0.097793504,374.1733333,6.68,1063.7
180,17031150502,67,76576,41.3,25.56239641,2.698422895,0.123978606,0.28818147,239.1666667,5.720689655,981.9310345
181,17031150600,61,84507,38.4,26.18795941,2.02802193,0.133261939,0.268127476,221.62,7.521052632,1459.947368
182,17031150700,136,85714,36.7,25.69561577,1.74769622,0.236442516,0.197820325,206.195,8.182608696,1335.282609
183,17031150800,384,68320,41.6,29.89714822,2.087158081,0.259824098,0.218600646,228.526,6.546666667,1090.133333
184,17031151001,90,81042,36.3,33.25598092,1.150975198,0.229255319,0.105061082,394.96,6.962962963,1104.111111
185,17031151002,502,64741,33.7,30.67580485,6.228807297,0.192158169,0.681988201,268.5575,6.219753086,1128.790123
186,17031151100,282,63125,36.3,34.32344435,2.64104439,0.147523278,0.269072853,211.8975,7.645098039,1235.519608
187,17031151200,239,81410,42.8,21.61393977,9.934822425,0.180308945,1.314177951,260.6233333,7.603947368,1271.25
188,17031160100,49,79643,37.9,18.33410997,2.281700709,0.109804283,0.404106678,398.985,6.927272727,1055.909091
189,17031160200,476,114453,42.3,14.07404786,7.022844236,0.111825682,1.455384451,612.5575,7.916666667,1147.068182
